Module,Subcategory,Type,Post Title,Post URL,Wistia_ID,Cloud_Video_Link
Partner Discounts + Resources,UGC Creator Content Discounts,Text,4 Creators + 16 Ads per Month,https://www.youradmission.co/products/monthly-membership/categories/2157573904/posts/2187349980,None,N/A
Partner Discounts + Resources,Chargeflow | Automated Chargeback Prevention + Recovery,Text,Get your first 100 chargebacks handled free!,https://www.youradmission.co/products/monthly-membership/categories/2157421772/posts/2186693249,None,N/A
Partner Discounts + Resources,Statlas.io | Data Maps to Guide Your Ecommerce Journey,Text,Special Pricing for ADmission Members Only,https://www.youradmission.co/products/monthly-membership/categories/2148345118/posts/2150557132,None,N/A
Partner Discounts + Resources,CreativeLaunch | Quick-delivery Video Ads,Text,Get 10 Custom Video Ads Free,https://www.youradmission.co/products/monthly-membership/categories/2155337690/posts/2177712791,None,N/A
Partner Discounts + Resources,SARAL | Your Influencer Marketing Assistant,Text,Claim your FREE Access to the platform today!,https://www.youradmission.co/products/monthly-membership/categories/2154822892/posts/2175438153,None,N/A
Partner Discounts + Resources,BoosterSEO | The #1 rated & trusted All-In-One SEO Tool of choice for Shopify brands,Text,25% off for 12 months + 14 day free-trial,https://www.youradmission.co/products/monthly-membership/categories/2154537235/posts/2174304562,None,N/A
Partner Discounts + Resources,ShipBob | Ecommerce Fulfillment Solutions for Online Brands,Text,Get $500 in free shipping credits!,https://www.youradmission.co/products/monthly-membership/categories/2148761162/posts/2151999225,None,N/A
Partner Discounts + Resources,YOTPO SMS | Free 30-day Access & Free SMS Training,Text,Get 30-days of FREE Text Messages & Training Download,https://www.youradmission.co/products/monthly-membership/categories/2148721901/posts/2151866130,None,N/A
Partner Discounts + Resources,Klaviyo | Ecommerce Email Management,Video,Get 15% Off Klaviyo for 16 Months,https://www.youradmission.co/products/monthly-membership/categories/3472533/posts/11592490,os1iit8mmt,https://drive.google.com/open?id=1QyRfok6ad8M1YTcqC843OGEXJnav3bJX
Partner Discounts + Resources,Kynship | Influencer Marketing Agency + Product Seeding App,Text,30-Day Free Trial + Full Product Demo,https://www.youradmission.co/products/monthly-membership/categories/3482196/posts/11624370,None,N/A
Partner Discounts + Resources,Recharge | Subscriptions Masterclass,Video,Subscriptions Masterclass,https://www.youradmission.co/products/monthly-membership/categories/2149393887/posts/2154302357,vjmn4x0jy8,https://drive.google.com/open?id=1vnzWBS2DXQeoKN6DSekATpZ6WM3DXcnT
Partner Discounts + Resources,Refersion | Advanced Affiliate Tracking,Text,Extended 30 Day Trial + Post-Trial Access For Only $89/Month,https://www.youradmission.co/products/monthly-membership/categories/3472242/posts/11591476,None,N/A
Partner Discounts + Resources,No Limit Creatives | On-Demand Graphic + Video Ad Design,Text,30% Off Your First Month With Code: ADMISSION30,https://www.youradmission.co/products/monthly-membership/categories/3472338/posts/11591769,None,N/A
Partner Discounts + Resources,Cartloop | Cart Abandonment Win-Back SMS,Text,14 Day Free Trial + 20% Off Monthly After Trial,https://www.youradmission.co/products/monthly-membership/categories/3473827/posts/11622869,None,N/A
Partner Discounts + Resources,Trust.co | The Community-powered Corporate Card for Startups,Video,Trust | $250 statement credit after $10k spent on card in first 3 months,https://www.youradmission.co/products/monthly-membership/categories/2150170298/posts/2157197781,lu00rnr89g,https://drive.google.com/open?id=1ykZpylPxyGDaJyR1ITnR5y0QJ821tw-w
Partner Discounts + Resources,Clearco | Growth Capital for Ecommerce Brands,Text,"Replace your ad spend with Clearco and free up cash flow. No interest,no dilution.",https://www.youradmission.co/products/monthly-membership/categories/3481852/posts/11623376,None
Partner Discounts + Resources,Tapcart | No-Code Mobile Shopping App Creation,Text,30-Day Free Trial to Create + Test a Shopping App For Your Store,https://www.youradmission.co/products/monthly-membership/categories/3482091/posts/11624074,None,N/A
Partner Discounts + Resources,Cin 7 | Multi-Channel Inventory Management System,Video,1 Month Free + Discounted Onboarding,https://www.youradmission.co/products/monthly-membership/categories/3472079/posts/11590869,95a040n8x4,https://drive.google.com/open?id=1_VWj9nc3-2l9_I6BRErmfwST_RfPI0Hy
Partner Discounts + Resources,Route | Post-Purchase Experience Platform,Text,$100 Giftcard to Try Route On Your Site for 1 Week,https://www.youradmission.co/products/monthly-membership/categories/3495180/posts/11669660,None,N/A
Partner Discounts + Resources,"Privy | CRO,Email,and Text Message Tools",Text,15% Off Your First 12 Months,https://www.youradmission.co/products/monthly-membership/categories/3496583/posts/11674205
Partner Discounts + Resources,Recart | FB Messenger Marketing,Text,28 Day Free Trial. $29/Month Afterward,https://www.youradmission.co/products/monthly-membership/categories/3660442/posts/12931834,None,N/A
Partner Discounts + Resources,Go2 | Remote Team Experts,Text,25% Off Your 1st Staff Member For Your 1st 3 Months,https://www.youradmission.co/products/monthly-membership/categories/4032220/posts/13523074,None,N/A
Partner Discounts + Resources,Copy.ai | Generate High Converting Marketing Copy in Seconds,Video,Get 30% Off For the First 12 Months!,https://www.youradmission.co/products/monthly-membership/categories/4727633/posts/15891258,d36fhg6dv4,https://drive.google.com/open?id=1AvhZxe5CgWq7nGR4THGYI4xDbASnBGVD
Partner Discounts + Resources,Bean Ninjas | ecommerce Growth Accountants,Text,Free Financial Roadmapping Session and 15% Off Your 1st 6 Months of Service,https://www.youradmission.co/products/monthly-membership/categories/4889406/posts/16460357,None,N/A
Partner Discounts + Resources,Postscript | SMS Platform,Text,Exclusive offer of 45 days of unlimited text messages. No credit card required.,https://www.youradmission.co/products/monthly-membership/categories/2147618514/posts/2147950157,None,N/A
Partner Discounts + Resources,Attentive | SMS Platform,Text,Sign up for an annual contract and get platform fees waived and a lower per message cost.,https://www.youradmission.co/products/monthly-membership/categories/2147618658/posts/2147950661,None,N/A
Retention Trainings (Email/SMS),General,Video,Black Friday Email Prep Essentials (2 min),https://www.youradmission.co/products/monthly-membership/categories/2763469/posts/2190485095,8u56tze62n,https://drive.google.com/open?id=1d0t5tijvj5MRQnDJo-w81cxtBO7dojUY
Retention Trainings (Email/SMS),General,Video,What to Do About the New Texas SMS Law (2 min),https://www.youradmission.co/products/monthly-membership/categories/2763469/posts/2190485077,u8ki7b66hu,https://drive.google.com/open?id=1H9vsgF7LDi1MjGVRWoC2XZeXNCxexCD-
Retention Trainings (Email/SMS),Email Marketing,Video,The Anatomy of a Great Email (16 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2184743587,lemhxb5hd8,https://drive.google.com/open?id=1HTIKSMHFoSRsDaRR9so_fELgzeXMqDk6
Retention Trainings (Email/SMS),Email Marketing,Video,2024 Retention Best Practices (6.5 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2182023392,b6yguh8bw0,https://drive.google.com/open?id=1yln9yu1m_kwbP4z3QsQbcGOamVycdF-g
Retention Trainings (Email/SMS),Email Marketing,Video,Email Strategies to Win Post-Holiday (12 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2182023406,gre8aqz3xg,https://drive.google.com/open?id=1XtQYLnHPBCXM4ZHQc--7e8bXn8mZG0mW
Retention Trainings (Email/SMS),Email Marketing,Video,One Easy Way to Grow Your Email List,https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2171539756,0nsfvog92i,https://drive.google.com/open?id=1qZWo5CeoU-7kbHCh12ZTEfNoAD14wV6L
Retention Trainings (Email/SMS),Email Marketing,Text,15-point Email Automation Checklist Download,https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2158926126,None,N/A
Retention Trainings (Email/SMS),Email Marketing,Video,Retention Fundamentals | How to Approach and WIN Retention (61 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/7873897,v3ww4abfqn,https://drive.google.com/open?id=1L6tH9SbRduHWdz9EOPcz6n9xgOs_XN1A
Retention Trainings (Email/SMS),Email Marketing,Video,Planning Your Email & SMS Campaign Calendar (48 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2155116682,3zmldt5ncz,https://drive.google.com/open?id=1TBOD-vvKZFh00_7mTyUhVcgx0llUdRbo
Retention Trainings (Email/SMS),Email Marketing,Video,A Quick + Dirty Email Setup (54 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/16141934,o0sbhoab9h,https://drive.google.com/open?id=1sYcgfPoVk1utbKxOCLmE-afXx-AbMKjw
Retention Trainings (Email/SMS),Email Marketing,Video,Evergreen Klaviyo Flows (62 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/9174152,so0djqhqyl,https://drive.google.com/open?id=1QJ0kI3CmF0Tx6tIrEwwO8fyk34b5Pf7G
Retention Trainings (Email/SMS),Email Marketing,Video,Retention Flows: Optimization & Testing (60 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2152792883,x4dtojob4m,https://drive.google.com/open?id=1NSayNjW37enofzaurb4EHmOIftH02z1G
Retention Trainings (Email/SMS),Email Marketing,Video,Effective Pop-Ups (55 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2149891795,c9rswdhe28,https://drive.google.com/open?id=1OEaKp67l1DFg6SZlDB3QtSK2E3qyXxSs
Retention Trainings (Email/SMS),Email Marketing,Video,Exponential Revenue Growth with Email Marketing (56 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2156718360,w7q8dx8bpd,https://drive.google.com/open?id=1LL0CtWsdfPirfCKgXx2n2MZLjnoG8nCF
Retention Trainings (Email/SMS),Email Marketing,Video,The Death of Open Tracking: Navigating Email Marketing Through iOS 15 (37 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2150723279,qo1q5lfcsf,https://drive.google.com/open?id=1Uw5IGQ9iQNimoS4IfLRXVgsdWoIutNDZ
Retention Trainings (Email/SMS),Email Marketing,Video,3 Cash Generating Email Flows You're Probably Not Running (35 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/2158203105,ochkr0tl76,https://drive.google.com/open?id=1FZbuQ_M215qIrZYTo-uEg6ongZqYMVTE
Retention Trainings (Email/SMS),Email Marketing,Video,Why a Quiz Funnel May Be Your Biggest LTV Play Yet  | Bambu Earth Case Study (33 min),https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/10324317,07kelkdum5,https://drive.google.com/open?id=1PV95Nv0qzozrunMq46MV87josFJi0hLi
Retention Trainings (Email/SMS),Email Marketing,Text,Retention Audit Checklist | Template,https://www.youradmission.co/products/monthly-membership/categories/2147628189/posts/12903881,None,N/A
Retention Trainings (Email/SMS),SMS Marketing,Video,SMS 101 (54 min),https://www.youradmission.co/products/monthly-membership/categories/2147628188/posts/2147988040,5z9haxtdw5,https://drive.google.com/open?id=1oDT6Xma5SvVcvqgPTIy3v-NQfhJ20IZU
Statlas | Growth Data Tool,General,Video,How To Use Benchmarks: Statlas Jam Episode 3 (12 min),https://www.youradmission.co/products/monthly-membership/categories/4853919/posts/2174625196,82epglgf8d,https://drive.google.com/open?id=1l02mnAjGl8nBZ8KulF9mEu019ed2LM5M
Statlas | Growth Data Tool,General,Video,3 Keys To Designing The Perfect Dashboard: Statlas Jam Episode 4 (4 min),https://www.youradmission.co/products/monthly-membership/categories/4853919/posts/2174625315,noflwy8v3m,https://drive.google.com/open?id=1rV0IIs5a36V9ygC92M85pGqAWnNo_ofi
Statlas | Growth Data Tool,General,Video,Planning and Tracking Daily Contribution Margin: Statlas Jam Episode 2 (15 min),https://www.youradmission.co/products/monthly-membership/categories/4853919/posts/2174304501,7nqfntwmbm,https://drive.google.com/open?id=18ejNSa0ZsvTxGnb8TrOm4bbu9zMc_fbI
Statlas | Growth Data Tool,General,Video,Treasure Hunting For Profit: Statlas Jam Episode 1 (5 min),https://www.youradmission.co/products/monthly-membership/categories/4853919/posts/2174304487,357tuhvvs6,https://drive.google.com/open?id=1lY0JolJdp6UkhtAXEAaT38EPc25aBRst
